MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Carburizer Paedagogy,0,0,1,0,0,0,0,1
Carburizer Paedagogy,0,0,1,0,0,0,0,1
Carburizer Paedagogy,0,0,1,0,0,0,0,1
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Paedagogy,0,0,1,0,0,0,1,0
Carburizer Sarawak,1,0,0,0,1,0,0,0
Carburizer Sarawak,1,0,0,0,1,0,0,0
Carburizer Supercredit,0,0,1,0,0,1,0,0
Carburizer Supercredit,0,0,1,0,0,1,0,0
Carburizer Supercredit,1,0,0,0,1,0,0,0
Carburizer Supercredit,1,0,0,0,1,0,0,0
Carburizer Supercredit,1,0,0,0,1,0,0,0
Carburizer Torino,0,1,0,0,0,0,0,1
Carburizer Torino,0,1,0,0,0,0,0,1
Carburizer Torino,0,1,0,0,0,0,0,1
Carburizer Underjudge,0,0,0,1,0,0,0,1
Carburizer Underjudge,0,0,0,1,0,0,0,1
Carburizer Underjudge,0,0,0,1,0,0,0,1
Carburizer Wynnea,0,1,0,0,0,0,1,0
Carburizer Wynnea,0,1,0,0,0,0,1,0
Carburizer Wynnea,0,1,0,0,0,0,1,0
Carburizer Wynnea,0,1,0,0,0,0,1,0
Carburizer Wynnea,0,1,0,0,0,0,1,0
Carburizer Wynnea,1,0,0,0,0,1,0,0
Carburizer Wynnea,1,0,0,0,0,1,0,0
Carburizer Wynnea,1,0,0,0,0,1,0,0
Carburizer Wynnea,1,0,0,0,0,1,0,0
Carpostome,0,1,0,0,1,0,0,0
Carpostome,0,1,0,0,1,0,0,0
Carpostome,0,0,0,1,1,0,0,0
Carpostome,0,0,0,1,1,0,0,0
Carpostome,0,0,1,0,1,0,0,0
Carpostome,0,0,1,0,0,0,1,0
Cashfall Mesh,0,0,1,0,0,1,0,0
Cashfall Swathe,0,0,1,0,0,0,0,1
Catharacta Analysis,0,1,0,0,0,0,0,1
Catharacta Analysis,0,1,0,0,0,0,0,1
Catharacta Chart,1,0,0,0,0,0,0,1
Catharacta Chart,1,0,0,0,0,0,0,1
Catharacta Muddle,0,0,1,0,0,0,0,1
Catharacta Muddle,0,0,1,0,0,0,0,1
Catharacta Saw,0,0,0,1,0,0,0,1
Catharacta Saw,0,0,0,1,0,0,0,1
Catharacta Troop,0,0,0,1,0,0,1,0
Catharacta Troop,0,0,0,1,0,0,1,0
Cattleya,0,0,0,1,0,1,0,0
Cebuella,0,1,0,0,0,1,0,0
Cebuella,0,1,0,0,0,1,0,0
Cebuella,0,1,0,0,0,1,0,0
Centaline Batsman,1,0,0,0,0,0,0,1
Centaline Batsman,1,0,0,0,0,0,0,1
Centaline Convening,1,0,0,0,0,0,1,0
Centaline Convening,1,0,0,0,0,0,1,0
Centaline Epitaph,1,0,0,0,0,0,0,1
Centaline Epitaph,1,0,0,0,0,0,0,1
Centaline Quadratic,0,0,0,1,0,0,1,0
Centaline Quadratic,0,0,0,1,0,0,1,0
Centaline Quadratic,0,0,0,1,0,0,1,0
Chelydri,1,0,0,0,0,0,0,1
Chelydri,1,0,0,0,0,0,0,1
Chelydri,1,0,0,0,0,0,0,1
Chippewa,0,0,0,1,0,0,1,0
Cloisonna,0,1,0,0,0,0,1,0
Cloisonna,0,1,0,0,0,0,1,0
Cnidosporidia,0,1,0,0,0,1,0,0
Colchicaceae,0,0,1,0,0,1,0,0
Colocasia Destiny,0,0,1,0,0,0,0,1
Colocasia Destiny,0,0,1,0,0,0,0,1
Colocasia Destiny,0,0,1,0,0,0,0,1
Colocasia Destiny,0,0,1,0,0,0,1,0
Colocasia Destiny,0,0,1,0,0,0,1,0
Colocasia Destiny,0,0,1,0,0,0,1,0
Colocasia Destiny,0,0,1,0,0,0,1,0
Colocasia Elegance,0,0,1,0,0,0,1,0
Colocasia Elegance,0,0,1,0,0,0,1,0
Colocasia Elegance,0,0,1,0,0,0,1,0
Colocasia Elegance,0,0,1,0,0,0,1,0
Colocasia Elegance,0,0,1,0,0,0,1,0
Conradina,1,0,0,0,0,1,0,0
Coronilla,0,1,0,0,0,0,1,0
Costa Hemin,0,0,1,0,1,0,0,0
Costa Hemin,0,0,1,0,1,0,0,0
Costa Phthalein,0,1,0,0,0,1,0,0
Costa Phthalein,0,1,0,0,0,1,0,0
Costia,1,0,0,0,0,1,0,0
Cytost Ansaid,0,1,0,0,0,1,0,0
Cytost Electroaxis,1,0,0,0,0,1,0,0
Cytost Electroaxis,1,0,0,0,0,1,0,0
Cytost Fibrinase,0,1,0,0,0,0,1,0
Cytost Fibrinase,0,1,0,0,0,0,1,0
Cytost Goethe,1,0,0,0,0,0,0,1
Cytost Goethe,1,0,0,0,0,0,0,1
Cytost Justicoat,1,0,0,0,0,0,0,1
Cytost Liposcelis,0,1,0,0,0,1,0,0
Cytost Nardo,1,0,0,0,1,0,0,0
Cytost Octastylos,0,0,1,0,0,0,1,0
Cytost Pectinatella,0,0,1,0,0,0,1,0
Cytost Sabalo,0,1,0,0,0,0,1,0
Cytost Spyeria,0,1,0,0,0,1,0,0
Cytost Xylostoma,0,1,0,0,0,1,0,0
Decaline Bolwing,0,1,0,0,0,0,1,0
Decaline Bolwing,0,1,0,0,0,0,1,0
Decaline Bolwing,0,1,0,0,0,0,1,0
Decaline Bolwing,0,1,0,0,0,0,1,0
Decaline Bulldozer,1,0,0,0,0,0,1,0
Decaline Challenger,1,0,0,0,0,1,0,0
Decaline Challenger,1,0,0,0,0,1,0,0
Decaline Distrust,1,0,0,0,1,0,0,0
Decaline Distrust,1,0,0,0,1,0,0,0
Decaline Distrust,1,0,0,0,1,0,0,0
Decaline Distrust,1,0,0,0,1,0,0,0
Decaline Eyelid,0,0,1,0,0,0,1,0
Decaline Eyelid,0,0,1,0,0,0,1,0
Decaline Eyelid,0,0,1,0,0,0,1,0
Decaline Gist,0,0,1,0,0,0,1,0
Decaline Gist,0,0,1,0,0,0,1,0
Decaline Ligament,1,0,0,0,0,0,1,0
Decaline Martin,0,0,1,0,0,0,1,0
Decaline Martin,0,0,1,0,0,0,1,0
Decaline Quirk,0,1,0,0,0,1,0,0
Decaline Quirk,0,1,0,0,0,1,0,0
Decaline Ringlet,1,0,0,0,0,1,0,0
Decaline Tinning,1,0,0,0,1,0,0,0
Decaline Tinning,1,0,0,0,1,0,0,0
Decaline Tinning,1,0,0,0,1,0,0,0
Decaline Yielding,0,0,1,0,0,0,0,1
Decennium,0,0,0,1,0,1,0,0
Decennium,0,0,0,1,0,1,0,0
Decennium,0,0,0,1,0,1,0,0
Decerebrate,0,0,0,1,0,1,0,0
Demivierge,0,0,1,0,0,0,1,0
Descartes Angulation,0,0,0,1,1,0,0,0
Descartes Angulation,0,0,0,1,1,0,0,0
Descartes Arabia,0,1,0,0,0,0,1,0
Descartes Babyrousa,1,0,0,0,0,1,0,0
Descartes Basuto,0,0,0,1,0,1,0,0
Descartes Caddicefly,0,1,0,0,0,0,0,1
Descartes Caddicefly,0,1,0,0,0,0,0,1
Descartes Caravinist,0,0,1,0,0,1,0,0
Descartes Carillonneur,0,0,0,1,0,1,0,0
Descartes Citroncirus,0,0,0,1,0,0,1,0
Descartes Dalan,0,0,1,0,0,0,1,0
Descartes Daubery,0,0,1,0,1,0,0,0
Descartes Daubery,0,0,1,0,1,0,0,0
Descartes Fordhooks,0,1,0,0,0,1,0,0
Descartes Fordhooks,0,1,0,0,0,1,0,0
Descartes Fordhooks,0,1,0,0,0,1,0,0
Descartes Gilgamish,1,0,0,0,0,0,0,1
Descartes Haruspex,0,0,1,0,0,1,0,0
Descartes Haruspex,0,0,1,0,0,1,0,0
Descartes Hephaestus,0,0,1,0,0,0,0,1
Descartes Latvia,1,0,0,0,0,0,0,1
Descartes Locke,0,0,0,1,1,0,0,0
Descartes Locke,0,0,0,1,1,0,0,0
Descartes Plupf,0,0,1,0,0,0,1,0
Descartes Quantic,0,0,1,0,1,0,0,0
Descartes Schoolman,0,0,0,1,1,0,0,0
Descartes Troker,0,1,0,0,0,0,1,0
Descartes Vambrace,1,0,0,0,1,0,0,0
Descartes Vambrace,1,0,0,0,1,0,0,0
Diaphysis,0,0,1,0,1,0,0,0
Diplopod,0,0,0,1,1,0,0,0
Diplopod,0,0,0,1,1,0,0,0
Diskography,1,0,0,0,0,0,1,0
Diskography,1,0,0,0,0,0,1,0
Donetsk,0,0,1,0,0,0,1,0
Ecclesia,0,0,1,0,1,0,0,0
Elanus,0,1,0,0,0,0,1,0
Eluvium,0,1,0,0,0,1,0,0
Emptor,0,0,0,1,1,0,0,0
Emptor,0,0,0,1,1,0,0,0
Ennuya,0,0,0,1,0,0,1,0
Ephemeropteran,1,0,0,0,0,0,0,1
Erotogenesis Canoe,0,1,0,0,0,0,0,1
Erotogenesis Canoe,0,1,0,0,0,0,0,1
Erotogenesis Harmony,0,0,1,0,0,0,1,0
Erotogenesis Harmony,0,0,1,0,0,0,1,0
Erotogenesis Keening,1,0,0,0,0,0,1,0
Erotogenesis Keening,1,0,0,0,0,0,1,0
